id,name,description,topic,subtopic_code,word_count,question_count,is_system,is_public,is_ai_generated,featured,likes,order_index,is_active,created_at
a217d42a-d1dc-4010-9e4a-2e86bbc60d99,Film & Cinema Vocabulary,"A collection of B2+ level English vocabulary related to films, movies, and the cinema industry, suitable for high school students preparing for exams.",Film and Cinema,,30,27,False,False,True,False,0,0,True,2026-06-07T19:56:17.273102+00:00
2718ba25-b2fb-4060-90ec-b208c625e58d,Phrasal Verbs về Sức Khỏe,"Bộ từ vựng gồm 30 phrasal verbs thông dụng liên quan đến sức khỏe, giúp học sinh nâng cao vốn từ cho các bài thi.",Health,,35,26,False,False,True,False,0,0,True,2026-06-07T19:29:11.498393+00:00
0f3aaf95-c793-4bad-aa04-3aadab4ec5e8,Tình Yêu & Hẹn Hò,"Bộ từ vựng về các cụm từ và từ vựng liên quan đến tình yêu, hẹn hò và các mối quan hệ.",Relationships,,30,10,False,True,True,False,1,0,True,2026-06-05T11:03:52.564958+00:00
5f8118d8-456e-54b4-b9c8-d03d302963d3,Gia đình & Các mối quan hệ,Từ vựng Gia đình & Các mối quan hệ — B1-B2 — luyện thi TN/HSA/SPT,Family & Relationships,E2X.07,48,20,True,True,True,True,0,1,True,2026-06-03T22:49:07.379197+00:00
14e3a35b-f474-596a-8573-807c6539d4ee,Giáo dục & Học tập,Từ vựng Giáo dục & Học tập — B1-B2 — luyện thi TN/HSA/SPT,Education & Learning,E2X.07,40,20,True,True,True,True,0,2,True,2026-06-03T22:47:31.452548+00:00
0e97ca25-e1c8-5a28-9728-9cc8c72eacad,Công việc & Sự nghiệp,Từ vựng Công việc & Sự nghiệp — B2-C1 — luyện thi TN/HSA/SPT,Work & Career,E2X.07,40,20,True,True,True,True,0,3,True,2026-06-03T22:50:35.104299+00:00
bc340f89-0f9e-55db-8a8b-9ac21cac797e,Sức khỏe & Y tế,Từ vựng Sức khỏe & Y tế — B2-C1 — luyện thi TN/HSA/SPT,Health & Medicine,E2X.07,40,20,True,True,True,True,0,4,True,2026-06-03T22:51:24.102992+00:00
a88b3b52-eb57-5869-bd30-d59fbaddb6a6,Cảm xúc & Tính cách,Từ vựng Cảm xúc & Tính cách — B1-C1 — luyện thi TN/HSA/SPT,Emotions & Personality,E2X.07,47,20,True,True,True,True,0,5,True,2026-06-03T22:52:06.026992+00:00
dd9387a3-14db-5858-923e-21f450161a7b,Bình đẳng giới & Quyền lợi,Từ vựng Bình đẳng giới & Quyền lợi — B2-C1 — luyện thi TN/HSA/SPT,Gender & Equality,E2X.07,40,20,True,True,True,True,0,6,True,2026-06-03T22:52:50.204209+00:00
46e081a2-13e8-5324-9c6a-4253e9cdc08c,Cộng đồng & Vấn đề xã hội,Từ vựng Cộng đồng & Vấn đề xã hội — B2-C1 — luyện thi TN/HSA/SPT,Community & Social Issues,E2X.07,40,20,True,True,True,True,0,7,True,2026-06-03T22:53:41.534611+00:00
ed2991a0-7b18-5d15-a9c1-5b7b5a95fb73,Văn hóa & Truyền thống,Từ vựng Văn hóa & Truyền thống — B1-B2 — luyện thi TN/HSA/SPT,Culture & Traditions,E2X.07,40,20,True,True,True,True,0,8,True,2026-06-03T22:54:26.063516+00:00
14ae6fae-afca-5ef3-bfb4-8c65d0009fdb,Môi trường & Biến đổi khí hậu,Từ vựng Môi trường & Biến đổi khí hậu — B2-C1 — luyện thi TN/HSA/SPT,Environment & Climate Change,E2X.07,47,20,True,True,True,True,0,9,True,2026-06-03T22:40:30.898337+00:00
cb3dd930-dac6-53a6-af01-4662f448f8cc,Thiên nhiên & Động vật hoang dã,Từ vựng Thiên nhiên & Động vật hoang dã — B1-B2 — luyện thi TN/HSA/SPT,Nature & Wildlife,E2X.07,47,20,True,True,True,True,0,10,True,2026-06-03T22:56:01.748595+00:00
66cf92e4-6e3b-53a4-af5a-73b2ae116f5c,Thiên tai & Thảm họa,Từ vựng Thiên tai & Thảm họa — B2-C1 — luyện thi TN/HSA/SPT,Natural Disasters,E2X.07,40,20,True,True,True,False,0,11,True,2026-06-03T22:56:44.007969+00:00
a488d357-ea9c-5e40-95b9-5c9f699ed3e3,Thực phẩm & Dinh dưỡng,Từ vựng Thực phẩm & Dinh dưỡng — B1-B2 — luyện thi TN/HSA/SPT,Food & Nutrition,E2X.07,40,20,True,True,True,False,0,12,True,2026-06-03T22:57:34.034297+00:00
